date,경상수지,경상수지,상품수지,서비스수지,본원소득수지,이전소득수지,무역수지
201711월,22550,"7,428","11,461","-3,266",-72,-695,"7,694"
201712월,13695,"4,092","8,212","-3,766",581,-935,"5,511"
201801월,8846,"2,680","8,109","-4,494",679,"-1,613","3,485"
201802월,10740,"3,965","5,928","-2,664","1,282",-581,"2,810"
201803월,16799,"5,180","9,876","-2,252","-1,575",-868,"6,438"
201804월,9798,"1,768","10,358","-1,983","-5,858",-749,"6,262"
201805월,23717,"8,681","11,386","-2,094",229,-840,"6,355"
201806월,20853,"7,377","10,036","-2,449",461,-670,"6,098"
201807월,24387,"8,758","11,428","-3,116","1,217",-771,"6,871"
출처:,,한국은행「국제수지동향」,,,,,
